# {
#     "poni_version": 2.1,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "dist": 0.1,
#     "poni1": 0.1,
#     "poni2": 0.1,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "wavelength": 1e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lololo.dat
#       2th_deg             I 
  5.473564e-02    0.000000e+00
  1.642069e-01    0.000000e+00
  2.736782e-01    0.000000e+00
  3.831495e-01    0.000000e+00
  4.926208e-01    0.000000e+00
  6.020921e-01    0.000000e+00
  7.115634e-01    0.000000e+00
  8.210347e-01    0.000000e+00
  9.305060e-01    0.000000e+00
  1.039977e+00    0.000000e+00
  1.149449e+00    0.000000e+00
  1.258920e+00    0.000000e+00
  1.368391e+00    0.000000e+00
  1.477862e+00    0.000000e+00
  1.587334e+00    0.000000e+00
  1.696805e+00    0.000000e+00
  1.806276e+00    0.000000e+00
  1.915748e+00    0.000000e+00
  2.025219e+00    0.000000e+00
  2.134690e+00    0.000000e+00
  2.244161e+00    0.000000e+00
  2.353633e+00    0.000000e+00
  2.463104e+00    0.000000e+00
  2.572575e+00    0.000000e+00
  2.682047e+00    0.000000e+00
  2.791518e+00    0.000000e+00
  2.900989e+00    0.000000e+00
  3.010460e+00    0.000000e+00
  3.119932e+00    0.000000e+00
  3.229403e+00    0.000000e+00
  3.338874e+00    0.000000e+00
  3.448346e+00    0.000000e+00
  3.557817e+00    0.000000e+00
  3.667288e+00    0.000000e+00
  3.776759e+00    0.000000e+00
  3.886231e+00    0.000000e+00
  3.995702e+00    0.000000e+00
  4.105173e+00    0.000000e+00
  4.214645e+00    0.000000e+00
  4.324116e+00    0.000000e+00
  4.433587e+00    0.000000e+00
  4.543059e+00    0.000000e+00
  4.652530e+00    0.000000e+00
  4.762001e+00    0.000000e+00
  4.871472e+00    0.000000e+00
  4.980944e+00    0.000000e+00
  5.090415e+00    0.000000e+00
  5.199886e+00    0.000000e+00
  5.309358e+00    0.000000e+00
  5.418829e+00    0.000000e+00
  5.528300e+00    0.000000e+00
  5.637771e+00    0.000000e+00
  5.747243e+00    0.000000e+00
  5.856714e+00    0.000000e+00
  5.966185e+00    0.000000e+00
  6.075657e+00    0.000000e+00
  6.185128e+00    0.000000e+00
  6.294599e+00    0.000000e+00
  6.404070e+00    0.000000e+00
  6.513542e+00    0.000000e+00
  6.623013e+00    0.000000e+00
  6.732484e+00    0.000000e+00
  6.841956e+00    0.000000e+00
