# {
#     "poni_version": 2.1,
#     "detector": "RayonixSx165",
#     "detector_config": {
#         "pixel1": 7.9e-05,
#         "pixel2": 7.9e-05,
#         "orientation": 3
#     },
#     "dist": 0.1945710487399116,
#     "poni1": 0.09140108239941036,
#     "poni2": 0.0831203924302883,
#     "rot1": 0.06326716380102028,
#     "rot2": -0.054738929703024644,
#     "rot3": -8.967452065677822e-10,
#     "wavelength": 9.998725680096795e-11
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> xxxxxx.dat
#       2th_deg             I 
  1.682500e+00    3.214997e+01
  1.730504e+00    3.218855e+01
  1.778508e+00    3.263244e+01
  1.826513e+00    3.341397e+01
  1.874517e+00    3.346795e+01
  1.922521e+00    3.362291e+01
  1.970525e+00    3.403629e+01
  2.018529e+00    3.395778e+01
  2.066533e+00    3.381638e+01
  2.114537e+00    3.394136e+01
  2.162542e+00    3.407236e+01
  2.210546e+00    3.402131e+01
  2.258550e+00    3.405019e+01
  2.306554e+00    3.365789e+01
  2.354558e+00    3.358506e+01
  2.402562e+00    3.368227e+01
  2.450566e+00    3.342863e+01
  2.498570e+00    3.310426e+01
  2.546575e+00    3.243386e+01
  2.594579e+00    3.225784e+01
  2.642583e+00    3.228925e+01
  2.690587e+00    3.242840e+01
  2.738591e+00    3.228045e+01
  2.786595e+00    3.251686e+01
  2.834599e+00    3.247660e+01
  2.882604e+00    3.250562e+01
  2.930608e+00    3.265572e+01
  2.978612e+00    3.251552e+01
  3.026616e+00    3.244956e+01
  3.074620e+00    3.230486e+01
  3.122624e+00    3.198224e+01
  3.170628e+00    3.192449e+01
  3.218633e+00    3.197910e+01
  3.266637e+00    3.172484e+01
  3.314641e+00    3.163090e+01
  3.362645e+00    3.147883e+01
  3.410649e+00    3.138540e+01
  3.458653e+00    3.140127e+01
  3.506657e+00    3.138771e+01
  3.554662e+00    3.114253e+01
  3.602666e+00    3.094707e+01
  3.650670e+00    3.088433e+01
  3.698674e+00    3.079949e+01
  3.746678e+00    3.062678e+01
  3.794682e+00    3.058367e+01
  3.842686e+00    3.055829e+01
  3.890691e+00    3.037610e+01
  3.938695e+00    3.011367e+01
  3.986699e+00    3.006524e+01
  4.034703e+00    2.989084e+01
  4.082707e+00    2.965027e+01
  4.130711e+00    2.930053e+01
  4.178715e+00    2.920892e+01
  4.226720e+00    2.888763e+01
  4.274724e+00    2.875632e+01
  4.322728e+00    2.854188e+01
  4.370732e+00    2.837235e+01
  4.418736e+00    2.833152e+01
  4.466740e+00    2.816943e+01
  4.514744e+00    2.781732e+01
  4.562748e+00    2.768621e+01
  4.610753e+00    2.750384e+01
  4.658757e+00    2.733735e+01
  4.706761e+00    2.704450e+01
  4.754765e+00    2.702743e+01
  4.802769e+00    2.680436e+01
  4.850773e+00    2.657898e+01
  4.898777e+00    2.651645e+01
  4.946782e+00    2.623143e+01
  4.994786e+00    2.615940e+01
  5.042790e+00    2.586397e+01
  5.090794e+00    2.574141e+01
  5.138798e+00    2.552920e+01
  5.186802e+00    2.528562e+01
  5.234806e+00    2.509167e+01
  5.282811e+00    2.484944e+01
  5.330815e+00    2.470721e+01
  5.378819e+00    2.473344e+01
  5.426823e+00    2.458380e+01
  5.474827e+00    2.438220e+01
  5.522831e+00    2.428815e+01
  5.570835e+00    2.414441e+01
  5.618840e+00    2.386368e+01
  5.666844e+00    2.372452e+01
  5.714848e+00    2.371869e+01
  5.762852e+00    2.359317e+01
  5.810856e+00    2.341823e+01
  5.858860e+00    2.344622e+01
  5.906864e+00    2.334944e+01
  5.954869e+00    2.315558e+01
  6.002873e+00    2.303832e+01
  6.050877e+00    2.292516e+01
  6.098881e+00    2.293532e+01
  6.146885e+00    2.277114e+01
  6.194889e+00    2.262826e+01
  6.242893e+00    2.259955e+01
  6.290898e+00    2.248248e+01
  6.338902e+00    2.236620e+01
  6.386906e+00    2.227448e+01
  6.434910e+00    2.210046e+01
  6.482914e+00    2.203960e+01
  6.530918e+00    2.206783e+01
  6.578922e+00    2.211359e+01
  6.626926e+00    2.195356e+01
  6.674931e+00    2.190413e+01
  6.722935e+00    2.196719e+01
  6.770939e+00    2.177458e+01
  6.818943e+00    2.159551e+01
  6.866947e+00    2.149564e+01
  6.914951e+00    2.143768e+01
  6.962955e+00    2.143623e+01
  7.010960e+00    2.139691e+01
  7.058964e+00    2.134483e+01
  7.106968e+00    2.129258e+01
  7.154972e+00    2.132278e+01
  7.202976e+00    2.122995e+01
  7.250980e+00    2.105240e+01
  7.298984e+00    2.090285e+01
  7.346989e+00    2.095903e+01
  7.394993e+00    2.101987e+01
  7.442997e+00    2.098220e+01
  7.491001e+00    2.080693e+01
  7.539005e+00    2.071875e+01
  7.587009e+00    2.055209e+01
  7.635013e+00    2.066182e+01
  7.683018e+00    2.057307e+01
  7.731022e+00    2.053996e+01
  7.779026e+00    2.053825e+01
  7.827030e+00    2.036118e+01
  7.875034e+00    2.031499e+01
  7.923038e+00    2.023471e+01
  7.971042e+00    2.015019e+01
  8.019047e+00    2.008396e+01
  8.067051e+00    2.010716e+01
  8.115055e+00    1.998439e+01
  8.163059e+00    1.991420e+01
  8.211063e+00    1.985793e+01
  8.259067e+00    1.983985e+01
  8.307071e+00    1.981476e+01
  8.355076e+00    1.968492e+01
  8.403080e+00    1.963872e+01
  8.451084e+00    1.956569e+01
  8.499088e+00    1.962967e+01
  8.547092e+00    1.954616e+01
  8.595096e+00    1.941216e+01
  8.643100e+00    1.935041e+01
  8.691105e+00    1.938656e+01
  8.739109e+00    1.931716e+01
  8.787113e+00    1.918288e+01
  8.835117e+00    1.911354e+01
  8.883121e+00    1.917863e+01
  8.931125e+00    1.904852e+01
  8.979129e+00    1.909385e+01
  9.027133e+00    1.905511e+01
  9.075138e+00    1.898315e+01
  9.123142e+00    1.897301e+01
  9.171146e+00    1.887820e+01
  9.219150e+00    1.885808e+01
  9.267154e+00    1.879916e+01
  9.315158e+00    1.876848e+01
  9.363162e+00    1.880188e+01
  9.411167e+00    1.880195e+01
  9.459171e+00    1.878278e+01
  9.507175e+00    1.869847e+01
  9.555179e+00    1.864647e+01
  9.603183e+00    1.858247e+01
  9.651187e+00    1.851061e+01
  9.699191e+00    1.861655e+01
  9.747196e+00    1.853902e+01
  9.795200e+00    1.850858e+01
  9.843204e+00    1.846882e+01
  9.891208e+00    1.837844e+01
  9.939212e+00    1.848426e+01
  9.987216e+00    1.851916e+01
  1.003522e+01    1.848223e+01
  1.008322e+01    1.845943e+01
  1.013123e+01    1.844327e+01
  1.017923e+01    1.833835e+01
  1.022724e+01    1.837266e+01
  1.027524e+01    1.844640e+01
  1.032325e+01    1.848764e+01
  1.037125e+01    1.846840e+01
  1.041925e+01    1.845876e+01
  1.046726e+01    1.856130e+01
  1.051526e+01    1.844739e+01
  1.056327e+01    1.851426e+01
  1.061127e+01    1.864753e+01
  1.065927e+01    1.873273e+01
  1.070728e+01    1.864580e+01
  1.075528e+01    1.881349e+01
  1.080329e+01    1.892131e+01
  1.085129e+01    1.892397e+01
  1.089929e+01    1.917100e+01
  1.094730e+01    1.918857e+01
  1.099530e+01    1.920812e+01
  1.104331e+01    1.923673e+01
  1.109131e+01    1.933050e+01
  1.113932e+01    1.935728e+01
  1.118732e+01    1.926822e+01
  1.123532e+01    1.919968e+01
  1.128333e+01    1.914175e+01
  1.133133e+01    1.911889e+01
  1.137934e+01    1.895513e+01
  1.142734e+01    1.882030e+01
  1.147534e+01    1.867363e+01
  1.152335e+01    1.854909e+01
  1.157135e+01    1.855355e+01
  1.161936e+01    1.842234e+01
  1.166736e+01    1.840327e+01
  1.171537e+01    1.833550e+01
  1.176337e+01    1.830264e+01
  1.181137e+01    1.827517e+01
  1.185938e+01    1.824555e+01
  1.190738e+01    1.820154e+01
  1.195539e+01    1.818050e+01
  1.200339e+01    1.827815e+01
  1.205139e+01    1.817632e+01
  1.209940e+01    1.811376e+01
  1.214740e+01    1.815810e+01
  1.219541e+01    1.804556e+01
  1.224341e+01    1.795704e+01
  1.229141e+01    1.802752e+01
  1.233942e+01    1.792753e+01
  1.238742e+01    1.801246e+01
  1.243543e+01    1.797731e+01
  1.248343e+01    1.788923e+01
  1.253144e+01    1.776742e+01
  1.257944e+01    1.772519e+01
  1.262744e+01    1.773437e+01
  1.267545e+01    1.769971e+01
  1.272345e+01    1.770107e+01
  1.277146e+01    1.762720e+01
  1.281946e+01    1.764485e+01
  1.286746e+01    1.762633e+01
  1.291547e+01    1.758038e+01
  1.296347e+01    1.747990e+01
  1.301148e+01    1.753173e+01
  1.305948e+01    1.757274e+01
  1.310749e+01    1.748553e+01
  1.315549e+01    1.742846e+01
  1.320349e+01    1.751101e+01
  1.325150e+01    1.748059e+01
  1.329950e+01    1.739572e+01
  1.334751e+01    1.745573e+01
  1.339551e+01    1.740242e+01
  1.344351e+01    1.737042e+01
  1.349152e+01    1.735512e+01
  1.353952e+01    1.725767e+01
  1.358753e+01    1.724535e+01
  1.363553e+01    1.737250e+01
  1.368354e+01    1.738044e+01
  1.373154e+01    1.729809e+01
  1.377954e+01    1.733268e+01
  1.382755e+01    1.733792e+01
  1.387555e+01    1.730574e+01
  1.392356e+01    1.728715e+01
  1.397156e+01    1.734134e+01
  1.401956e+01    1.734287e+01
  1.406757e+01    1.744695e+01
  1.411557e+01    1.745662e+01
  1.416358e+01    1.764736e+01
  1.421158e+01    1.780245e+01
  1.425958e+01    1.833941e+01
  1.430759e+01    2.147019e+01
  1.435559e+01    3.593299e+01
  1.440360e+01    3.863732e+01
  1.445160e+01    2.676429e+01
  1.449961e+01    2.944016e+01
  1.454761e+01    2.908219e+01
  1.459561e+01    2.940468e+01
  1.464362e+01    2.697467e+01
  1.469162e+01    2.920455e+01
  1.473963e+01    2.062348e+01
  1.478763e+01    1.816338e+01
  1.483563e+01    1.751438e+01
  1.488364e+01    1.733374e+01
  1.493164e+01    1.721813e+01
  1.497965e+01    1.720008e+01
  1.502765e+01    1.715974e+01
  1.507566e+01    1.717293e+01
  1.512366e+01    1.717620e+01
  1.517166e+01    1.711654e+01
  1.521967e+01    1.701504e+01
  1.526767e+01    1.698158e+01
  1.531568e+01    1.702434e+01
  1.536368e+01    1.704089e+01
  1.541168e+01    1.702645e+01
  1.545969e+01    1.696280e+01
  1.550769e+01    1.699896e+01
  1.555570e+01    1.697017e+01
  1.560370e+01    1.704022e+01
  1.565170e+01    1.707385e+01
  1.569971e+01    1.701152e+01
  1.574771e+01    1.700060e+01
  1.579572e+01    1.693098e+01
  1.584372e+01    1.692979e+01
  1.589173e+01    1.692003e+01
  1.593973e+01    1.700969e+01
  1.598773e+01    1.690751e+01
  1.603574e+01    1.696918e+01
  1.608374e+01    1.695897e+01
  1.613175e+01    1.694090e+01
  1.617975e+01    1.692468e+01
  1.622775e+01    1.693535e+01
  1.627576e+01    1.696795e+01
  1.632376e+01    1.691968e+01
  1.637177e+01    1.694070e+01
  1.641977e+01    1.692747e+01
  1.646778e+01    1.694824e+01
  1.651578e+01    1.698030e+01
  1.656378e+01    1.696192e+01
  1.661179e+01    1.695687e+01
  1.665979e+01    1.699393e+01
  1.670780e+01    1.697575e+01
  1.675580e+01    1.697012e+01
  1.680380e+01    1.697604e+01
  1.685181e+01    1.706199e+01
  1.689981e+01    1.701163e+01
  1.694782e+01    1.700993e+01
  1.699582e+01    1.694632e+01
  1.704382e+01    1.694360e+01
  1.709183e+01    1.694935e+01
  1.713983e+01    1.692146e+01
  1.718784e+01    1.694837e+01
  1.723584e+01    1.689969e+01
  1.728385e+01    1.690703e+01
  1.733185e+01    1.689076e+01
  1.737985e+01    1.688037e+01
  1.742786e+01    1.691124e+01
  1.747586e+01    1.683705e+01
  1.752387e+01    1.683044e+01
  1.757187e+01    1.681311e+01
  1.761987e+01    1.680080e+01
  1.766788e+01    1.676119e+01
  1.771588e+01    1.676414e+01
  1.776389e+01    1.678743e+01
  1.781189e+01    1.674240e+01
  1.785990e+01    1.677673e+01
  1.790790e+01    1.675626e+01
  1.795590e+01    1.678752e+01
  1.800391e+01    1.679470e+01
  1.805191e+01    1.676019e+01
  1.809992e+01    1.671776e+01
  1.814792e+01    1.676004e+01
  1.819592e+01    1.679251e+01
  1.824393e+01    1.701714e+01
  1.829193e+01    1.684151e+01
  1.833994e+01    1.678930e+01
  1.838794e+01    1.676949e+01
  1.843594e+01    1.674214e+01
  1.848395e+01    1.672439e+01
  1.853195e+01    1.676125e+01
  1.857996e+01    1.675600e+01
  1.862796e+01    1.677087e+01
  1.867597e+01    1.671165e+01
  1.872397e+01    1.673529e+01
  1.877197e+01    1.672418e+01
  1.881998e+01    1.681972e+01
  1.886798e+01    1.674410e+01
  1.891599e+01    1.672704e+01
  1.896399e+01    1.673516e+01
  1.901199e+01    1.679362e+01
  1.906000e+01    1.675979e+01
  1.910800e+01    1.673266e+01
  1.915601e+01    1.674346e+01
  1.920401e+01    1.675158e+01
  1.925202e+01    1.673918e+01
  1.930002e+01    1.673916e+01
  1.934802e+01    1.673135e+01
  1.939603e+01    1.677142e+01
  1.944403e+01    1.673479e+01
  1.949204e+01    1.676819e+01
  1.954004e+01    1.685906e+01
  1.958804e+01    1.689327e+01
  1.963605e+01    1.689185e+01
  1.968405e+01    1.697757e+01
  1.973206e+01    1.698827e+01
  1.978006e+01    1.707079e+01
  1.982806e+01    1.706535e+01
  1.987607e+01    1.710367e+01
  1.992407e+01    1.712146e+01
  1.997208e+01    1.716454e+01
  2.002008e+01    1.725836e+01
  2.006809e+01    1.740167e+01
  2.011609e+01    1.759547e+01
  2.016409e+01    1.777023e+01
  2.021210e+01    1.822351e+01
  2.026010e+01    1.892585e+01
  2.030811e+01    2.019388e+01
  2.035611e+01    2.450158e+01
  2.040411e+01    4.297372e+01
  2.045212e+01    5.290449e+01
  2.050012e+01    3.658153e+01
  2.054813e+01    4.184784e+01
  2.059613e+01    5.163433e+01
  2.064414e+01    4.937998e+01
  2.069214e+01    7.927536e+01
  2.074014e+01    5.515475e+01
  2.078815e+01    2.706174e+01
  2.083615e+01    2.238871e+01
  2.088416e+01    2.044911e+01
  2.093216e+01    1.928664e+01
  2.098016e+01    1.858864e+01
  2.102817e+01    1.815076e+01
  2.107617e+01    1.781325e+01
  2.112418e+01    1.762106e+01
  2.117218e+01    1.757763e+01
  2.122018e+01    1.751073e+01
  2.126819e+01    1.742002e+01
  2.131619e+01    1.742724e+01
  2.136420e+01    1.744033e+01
  2.141220e+01    1.742103e+01
  2.146021e+01    1.755878e+01
  2.150821e+01    1.744773e+01
  2.155621e+01    1.747529e+01
  2.160422e+01    1.743420e+01
  2.165222e+01    1.740457e+01
  2.170023e+01    1.741022e+01
  2.174823e+01    1.747619e+01
  2.179623e+01    1.755449e+01
  2.184424e+01    1.753833e+01
  2.189224e+01    1.750404e+01
  2.194025e+01    1.751499e+01
  2.198825e+01    1.764291e+01
  2.203626e+01    1.757435e+01
  2.208426e+01    1.762991e+01
  2.213226e+01    1.757636e+01
  2.218027e+01    1.764571e+01
  2.222827e+01    1.763954e+01
  2.227628e+01    1.761633e+01
  2.232428e+01    1.769161e+01
  2.237228e+01    1.758344e+01
  2.242029e+01    1.763517e+01
  2.246829e+01    1.776266e+01
  2.251630e+01    1.762204e+01
  2.256430e+01    1.755253e+01
  2.261230e+01    1.753767e+01
  2.266031e+01    1.754145e+01
  2.270831e+01    1.765129e+01
  2.275632e+01    1.759784e+01
  2.280432e+01    1.752431e+01
  2.285233e+01    1.751087e+01
  2.290033e+01    1.756022e+01
  2.294833e+01    1.737208e+01
  2.299634e+01    1.741989e+01
  2.304434e+01    1.750538e+01
  2.309235e+01    1.753335e+01
  2.314035e+01    1.749199e+01
  2.318835e+01    1.752552e+01
  2.323636e+01    1.746009e+01
  2.328436e+01    1.748750e+01
  2.333237e+01    1.746843e+01
  2.338037e+01    1.748281e+01
  2.342838e+01    1.748154e+01
  2.347638e+01    1.745711e+01
  2.352438e+01    1.749442e+01
  2.357239e+01    1.755210e+01
  2.362039e+01    1.749895e+01
  2.366840e+01    1.758279e+01
  2.371640e+01    1.760433e+01
  2.376440e+01    1.757581e+01
  2.381241e+01    1.752033e+01
  2.386041e+01    1.756857e+01
  2.390842e+01    1.762415e+01
  2.395642e+01    1.763146e+01
  2.400443e+01    1.763096e+01
  2.405243e+01    1.760721e+01
  2.410043e+01    1.760049e+01
  2.414844e+01    1.759725e+01
  2.419644e+01    1.769485e+01
  2.424445e+01    1.768500e+01
  2.429245e+01    1.761947e+01
  2.434045e+01    1.767139e+01
  2.438846e+01    1.786129e+01
  2.443646e+01    1.778978e+01
  2.448447e+01    1.778531e+01
  2.453247e+01    1.773396e+01
  2.458047e+01    1.784240e+01
  2.462848e+01    1.797037e+01
  2.467648e+01    1.810207e+01
  2.472449e+01    1.835605e+01
  2.477249e+01    1.878448e+01
  2.482050e+01    1.908410e+01
  2.486850e+01    2.005922e+01
  2.491650e+01    2.122045e+01
  2.496451e+01    2.325830e+01
  2.501251e+01    2.638911e+01
  2.506052e+01    3.236300e+01
  2.510852e+01    4.817401e+01
  2.515652e+01    1.130532e+02
  2.520453e+01    1.268449e+02
  2.525253e+01    6.170290e+01
  2.530054e+01    3.132424e+01
  2.534854e+01    2.673391e+01
  2.539655e+01    2.424477e+01
  2.544455e+01    2.284811e+01
  2.549255e+01    2.146270e+01
  2.554056e+01    1.971198e+01
  2.558856e+01    1.826139e+01
  2.563657e+01    1.620088e+01
